3,3,n,n,83.cpp
3,3,1,1,97.cpp
3,3,n,n,68.cpp
3,3,n2,n,40.cpp
3,8.14,logn,1,6.cpp
3,3,n,1,54.cpp
7,15.57,n,1,7.cpp
3,3,n,1,55.cpp
3,3,n,1,41.cpp
3,3,n2,n,69.cpp
3,3,n,1,96.cpp
3,3,n2,1,82.cpp
3,3,n2,1,94.cpp
3,3,logn,1,80.cpp
3,3,n,n,57.cpp
39,36.25,n2,n2,5.cpp
3,3,n2,n,43.cpp
3,3,n2,n2,42.cpp
3,3,n,n,56.cpp
277,283.46,n2,n2,4.cpp
3,3,n,n,81.cpp
3,3,n2,n,95.cpp
3,3,n2,1,91.cpp
3,3,n,1,85.cpp
3,3,n2,n,52.cpp
3,3,n,1,46.cpp
3,3,n,n,47.cpp
3,3,n2,n,1.cpp
3,3,n,1,53.cpp
3,3,n,n,84.cpp
3,3,n,1,90.cpp
3,3,n2,n,86.cpp
3,3,n,n,92.cpp
3,3,n,1,45.cpp
3,3,n2,n2,51.cpp
39,92.38,logn,1,3.cpp
3,3,1,1,79.cpp
3,3,n,n,78.cpp
3,3,n,n,50.cpp
26,14.31,n,1,2.cpp
3,3,n2,n2,44.cpp
3,3,n2,n,93.cpp
3,3,n2,1,87.cpp
3,8.87,n,n,23.cpp
3,3,n,1,37.cpp
3,3,n,1,36.cpp
4,14.43,n,1,22.cpp
3,3,n,1,34.cpp
0,7.8,n,n,20.cpp
3,8.5,logn,logn,21.cpp
3,3,n2,n2,35.cpp
3,3,n,1,31.cpp
6,16.01,logn,1,25.cpp
4,10.46,n,1,19.cpp
7,20.91,n,1,18.cpp
4,13.55,logn,1,24.cpp
3,3,n2,n2,30.cpp
3,12.18,logn,n,26.cpp
3,3,n2,n2,32.cpp
3,3,logn,logn,33.cpp
4,10.13,n2,n,27.cpp
8,15.78,n3,logn,16.cpp
0,8.01,n,n,17.cpp
3,3,n2,n,100.cpp
3,3,n,n,29.cpp
24,12.91,n2,logn,15.cpp
55,26.82,n2,logn,14.cpp
61,52.58,n,1,28.cpp
56,60.27,n,1,10.cpp
3,3,n,1,38.cpp
3,3,n2,1,39.cpp
0,7.79,1,1,11.cpp
4,11.11,n2,1,13.cpp
20,12.72,n,1,12.cpp
3,3,n,1,49.cpp
3,3,n,1,61.cpp
3,3,n2,n2,75.cpp
3,3,n,1,74.cpp
3,3,n2,1,60.cpp
3,3,1,1,48.cpp
3,3,n,1,89.cpp
3,3,n,n,76.cpp
3,3,n,n,62.cpp
3,3,n,n,63.cpp
3,3,n,1,77.cpp
3,3,n,n,88.cpp
3,3,n,n,98.cpp
3,3,n,1,73.cpp
3,3,n,1,67.cpp
3,8.74,n2,n2,9.cpp
16,8.41,logn,1,8.cpp
3,3,n,n,66.cpp
3,3,logn,1,72.cpp
3,3,n,1,99.cpp
3,3,n2,n2,64.cpp
3,3,n,n,70.cpp
3,3,n2,n2,58.cpp
3,3,n2,n2,59.cpp
3,3,n,1,71.cpp
3,3,n,1,65.cpp
