Filename,FunDef,FunApp,letlambda,BinaryOperator,letdata,closure,templateMatch,ClassDef,ForLoop,WhileLoop,DoWhileLoop,IfStmt,SwitchStmt,CaseStmt,DefaultStmt,TernaryOp,ArrayDecl,FieldDecl,EnumConstantDecl,ParamDecl,TypedefDecl,StructDecl,FloatDecl,IntegerDecl,PtrDecl,UnionDecl,ReturnStmt,BreakStmt,ContinueStmt,DeclStmt,UnaryOperator,CharLiteral,StringLiteral,DeclRefExpr,MemberRefExpr,TranslationUnit,Namespace,TemplateTypeParam,TemplateNonTypeParam,TemplateTemplateParam,UnexpoesdDecl,NewOp,DelOp,Static_Cast<>,BoolLiteral
1.cpp,0,1,0,5,3,4,0,1,2,0,0,1,0,0,0,0,2,0,0,2,0,0,0,2,0,0,2,0,0,3,2,0,0,13,1,1,0,0,0,0,0,0,0,0,0
10.cpp,0,2,0,6,4,4,0,1,0,1,0,1,0,0,0,0,4,0,0,1,0,0,0,3,0,0,1,0,0,3,2,0,0,17,1,1,0,0,0,0,0,0,0,0,0
100.cpp,0,2,0,12,5,4,0,1,3,0,0,0,0,0,0,0,8,0,0,1,0,0,0,7,0,0,1,0,0,5,3,0,0,23,1,1,0,0,0,0,0,0,0,0,0
11.cpp,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
12.cpp,0,1,0,1,4,4,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,2,0,0,1,0,0,4,1,0,0,8,1,1,0,0,0,0,0,0,0,0,0
13.cpp,0,7,0,4,5,6,0,1,1,1,0,2,0,0,0,0,2,0,0,3,0,0,0,3,0,0,3,1,0,5,4,0,1,10,6,1,0,0,0,0,0,0,0,0,0
14.cpp,0,5,0,20,6,8,0,1,2,1,0,4,0,0,0,0,12,0,0,1,0,0,0,7,0,0,1,1,2,6,4,0,0,33,4,1,0,0,0,0,0,0,0,0,0
15.cpp,0,6,1,26,9,11,0,1,1,3,0,4,0,0,0,0,9,0,0,3,0,0,1,7,0,0,2,0,1,8,3,0,0,47,3,1,0,0,0,0,0,0,0,0,0
16.cpp,0,6,0,57,7,16,0,1,2,3,0,9,0,0,0,0,32,0,0,2,0,0,0,23,0,0,2,2,4,6,8,0,0,67,5,1,0,0,0,0,0,0,0,0,0
17.cpp,0,2,0,2,3,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,2,0,0,3,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1
18.cpp,0,1,0,5,3,4,0,1,0,1,0,2,0,0,0,0,4,0,0,1,0,0,0,5,0,0,2,0,0,2,2,0,0,12,1,1,0,0,0,0,0,0,0,0,0
19.cpp,0,1,0,3,3,3,0,1,1,0,0,1,0,0,0,0,3,0,0,2,0,0,0,2,0,0,1,0,0,3,2,0,0,11,1,1,0,0,0,0,0,0,0,0,0
2.cpp,0,4,0,11,5,4,0,1,1,1,0,1,0,0,0,0,3,0,0,1,0,0,0,9,0,0,1,0,0,4,4,0,0,18,4,1,0,0,0,0,0,0,0,0,0
20.cpp,0,2,0,14,6,9,0,1,2,2,0,4,0,0,0,0,8,0,0,2,0,0,0,10,0,0,3,0,0,3,5,0,0,25,2,1,0,0,0,0,0,0,0,0,0
21.cpp,0,6,0,16,4,11,0,1,1,1,0,8,0,0,0,1,2,0,0,2,0,0,0,10,0,0,2,0,0,4,7,0,0,28,6,1,0,0,0,0,0,0,0,0,1
22.cpp,0,6,0,12,2,4,0,1,0,2,0,1,0,0,0,0,6,0,0,1,0,0,0,7,0,0,0,0,0,2,2,0,0,14,4,1,0,0,0,0,0,0,0,0,0
23.cpp,0,1,0,4,3,5,0,1,1,0,0,3,0,0,0,0,2,0,0,1,0,0,0,3,0,0,1,0,0,2,1,2,0,8,1,1,0,0,0,0,0,0,0,0,0
24.cpp,0,1,0,23,4,10,0,1,0,1,0,6,0,0,0,1,8,0,0,2,0,0,0,16,0,0,4,0,0,3,4,0,0,32,1,1,0,0,0,0,0,0,0,0,0
25.cpp,0,3,0,20,6,6,0,1,0,1,0,2,0,0,0,0,4,0,0,5,0,0,0,5,0,0,1,0,0,4,0,0,0,25,3,1,0,0,0,0,0,0,0,0,0
26.cpp,0,1,0,11,5,4,0,1,0,1,0,1,0,0,0,0,1,0,0,2,0,0,0,5,0,0,1,0,0,3,0,0,0,16,1,1,0,0,0,0,0,0,0,0,0
27.cpp,0,2,0,9,5,4,0,1,1,2,0,0,0,0,0,0,3,0,0,1,0,0,0,3,0,0,1,0,0,5,2,0,0,18,2,1,0,0,0,0,0,0,0,0,0
28.cpp,0,3,0,9,4,5,0,1,2,0,0,2,0,0,0,0,4,0,0,1,0,0,0,7,0,0,2,0,0,4,3,0,0,18,1,1,0,0,0,0,0,0,0,0,0
29.cpp,0,1,0,5,5,5,0,1,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,7,0,0,2,0,0,5,3,0,0,11,1,1,0,0,0,0,0,0,0,0,0
3.cpp,0,5,0,27,9,10,0,1,0,1,0,5,0,0,0,0,6,0,0,5,0,0,0,17,0,0,3,0,0,8,0,0,0,35,4,1,0,0,0,0,0,0,0,0,1
30.cpp,0,2,0,13,5,8,0,1,3,0,0,3,0,0,0,0,5,0,0,2,0,0,0,8,0,0,0,1,0,5,3,3,0,17,2,1,0,0,0,0,0,0,0,0,0
31.cpp,0,2,0,7,5,4,0,1,1,0,0,2,0,0,0,0,1,0,0,1,0,0,0,5,0,0,1,0,0,2,2,0,0,16,1,1,0,0,0,0,0,0,0,0,0
32.cpp,0,1,0,6,4,3,0,1,2,0,0,0,0,0,0,0,4,0,0,1,0,0,0,3,0,0,0,0,0,4,2,0,0,13,1,1,0,0,0,0,0,0,0,0,0
33.cpp,0,3,0,9,2,3,0,1,0,0,0,1,0,0,0,2,0,0,0,4,0,0,2,5,0,0,3,0,0,2,1,0,0,15,3,1,0,0,0,0,0,0,0,0,0
34.cpp,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
35.cpp,0,4,0,10,10,4,0,1,1,0,0,2,0,0,0,0,10,0,0,1,0,0,0,24,0,0,1,0,0,6,3,0,0,20,4,1,0,0,0,0,0,0,0,0,0
36.cpp,0,2,0,6,3,4,0,1,1,0,0,2,0,0,0,0,1,0,0,1,0,0,0,3,0,0,2,0,0,3,1,0,0,12,1,1,0,0,0,0,0,0,0,0,2
37.cpp,0,1,0,0,4,2,0,1,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,2,0,0,1,0,0,4,1,0,0,4,1,1,0,0,0,0,0,0,0,0,1
