Time,M,O,S,Filename
0.001507626097771694,3.0,n,n,83.cpp
0.0014372805706868875,3.0,1,1,97.cpp
0.0016080750679844321,3.0,n,n,68.cpp
0.0017500289234651527,3.0,n2,n,40.cpp
0.001531466547394779,8.14,logn,1,6.cpp
0.0016855340975259951,3.0,n,1,54.cpp
0.0015056655937044046,15.57,n,1,7.cpp
0.0016153212548171735,3.0,n,1,55.cpp
0.001599267539162061,3.0,n,1,41.cpp
0.0017907970164152945,3.0,n2,n,69.cpp
0.0016960497348943516,3.0,n,1,96.cpp
0.0016391422172777866,3.0,n2,1,82.cpp
0.0016438861518238378,3.0,n2,1,94.cpp
0.0015776488271539344,3.0,logn,1,80.cpp
0.0016307961216161994,3.0,n,n,57.cpp
0.0017746247845938118,36.25,n2,n2,5.cpp
0.0017308689199827059,3.0,n2,n,43.cpp
0.0017768228232977509,3.0,n2,n2,42.cpp
0.0016711802995611174,3.0,n,n,56.cpp
0.0017215722711697683,283.46,n2,n2,4.cpp
0.001654256898637574,3.0,n,n,81.cpp
0.0016882634105001926,3.0,n2,n,95.cpp
0.0017757218497633915,3.0,n2,1,91.cpp
0.0015125455372896706,3.0,n,1,85.cpp
0.0017321436363141104,3.0,n2,n,52.cpp
0.0015086011907872727,3.0,n,1,46.cpp
0.0015661784891075068,3.0,n,n,47.cpp
0.001705022092231625,3.0,n2,n,1.cpp
0.001556296322661564,3.0,n,1,53.cpp
0.0016031917424105065,3.0,n,n,84.cpp
0.0016875490941090962,3.0,n,1,90.cpp
0.0017598669161518372,3.0,n2,n,86.cpp
0.0015225800684405125,3.0,n,n,92.cpp
0.0016911323067368602,3.0,n,1,45.cpp
0.0016527251489056815,3.0,n2,n2,51.cpp
0.0014755252049273822,92.38,logn,1,3.cpp
0.0014377457129367745,3.0,1,1,79.cpp
0.0016491305465342492,3.0,n,n,78.cpp
0.0016016737060754844,3.0,n,n,50.cpp
0.0016798938915223885,14.31,n,1,2.cpp
0.0016573065945238777,3.0,n2,n2,44.cpp
0.0017730273021932098,3.0,n2,n,93.cpp
0.0017580904139710876,3.0,n2,1,87.cpp
0.0016996396604375189,8.87,n,n,23.cpp
0.0016328937722298517,3.0,n,1,37.cpp
0.0016481004622954515,3.0,n,1,36.cpp
0.0016175111182574217,14.43,n,1,22.cpp
0.0015053454146606378,3.0,n,1,34.cpp
0.0015844721507788859,7.8,n,n,20.cpp
0.0014857250755912696,8.5,logn,logn,21.cpp
0.0017785230909199848,3.0,n2,n2,35.cpp
0.0016061361426971952,3.0,n,1,31.cpp
0.0014977436662856887,16.01,logn,1,25.cpp
0.0015618649245266096,10.46,n,1,19.cpp
0.0015176804509669517,20.91,n,1,18.cpp
0.0015138662962579398,13.55,logn,1,24.cpp
0.0017837927093219237,3.0,n2,n2,30.cpp
0.0014500385136743434,12.18,logn,n,26.cpp
0.0016354707871906178,3.0,n2,n2,32.cpp
0.001594798382443459,3.0,logn,logn,33.cpp
0.0017676038328801513,10.13,n2,n,27.cpp
0.0020200451892224214,15.78,n3,logn,16.cpp
0.0015704146121314952,8.01,n,n,17.cpp
0.0016508890976614948,3.0,n2,n,100.cpp
0.001697158381206453,3.0,n,n,29.cpp
0.0016802133293275174,12.91,n2,logn,15.cpp
0.0017530327241989697,26.82,n2,logn,14.cpp
0.0016724189194922189,52.58,n,1,28.cpp
0.001527570372330925,60.27,n,1,10.cpp
0.0016596647127197768,3.0,n,1,38.cpp
0.0017035254017875017,3.0,n2,1,39.cpp
0.0014483470541939744,7.79,1,1,11.cpp
0.0016449762091526599,11.11,n2,1,13.cpp
0.0016547553193179258,12.72,n,1,12.cpp
0.001544693814030609,3.0,n,1,49.cpp
0.0015715415492623406,3.0,n,1,61.cpp
0.00166996164236252,3.0,n2,n2,75.cpp
0.0016200164071087312,3.0,n,1,74.cpp
0.0017610326370803824,3.0,n2,1,60.cpp
0.0014448007202202023,3.0,1,1,48.cpp
0.0015054398604882324,3.0,n,1,89.cpp
0.0015698574423537628,3.0,n,n,76.cpp
0.0016213093088510821,3.0,n,n,62.cpp
0.0016934588867091086,3.0,n,n,63.cpp
0.0015363695645719626,3.0,n,1,77.cpp
0.0016966346701746792,3.0,n,n,88.cpp
0.0016700870298785463,3.0,n,n,98.cpp
0.001687208007571989,3.0,n,1,73.cpp
0.0016793456564509104,3.0,n,1,67.cpp
0.0016455736064447635,8.74,n2,n2,9.cpp
0.0015530835240744085,8.41,logn,1,8.cpp
0.0016984852989127977,3.0,n,n,66.cpp
0.001561550204861352,3.0,logn,1,72.cpp
0.0016612962744915584,3.0,n,1,99.cpp
0.0016638768114918085,3.0,n2,n2,64.cpp
0.0015106142452800757,3.0,n,n,70.cpp
0.0016971806464495533,3.0,n2,n2,58.cpp
0.0016287572161260838,3.0,n2,n2,59.cpp
0.0016654299054468036,3.0,n,1,71.cpp
0.0015421350730771834,3.0,n,1,65.cpp
