Filename,FunDef,FunApp,letlambda,BinaryOperator,letdata,closure,templateMatch,ClassDef,ForLoop,WhileLoop,DoWhileLoop,IfStmt,SwitchStmt,CaseStmt,DefaultStmt,TernaryOp,ArrayDecl,FieldDecl,EnumConstantDecl,ParamDecl,TypedefDecl,StructDecl,FloatDecl,IntegerDecl,PtrDecl,UnionDecl,ReturnStmt,BreakStmt,ContinueStmt,DeclStmt,UnaryOperator,CharLiteral,StringLiteral,DeclRefExpr,MemberRefExpr,TranslationUnit,Namespace,TemplateTypeParam,TemplateNonTypeParam,TemplateTemplateParam,UnexpoesdDecl,NewOp,DelOp,Static_Cast<>,BoolLiteral
1.cpp,2,1,0,1,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,2,1,0,0,5,0,1,0,0,0,0,0,0,0,0,0
10.cpp,1,0,0,2,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,3,2,0,0,7,0,1,0,0,0,0,0,0,0,0,0
100.cpp,2,1,0,11,6,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,10,0,0,1,0,0,6,2,3,0,14,0,1,0,0,0,0,0,0,0,1,1
101.cpp,1,0,0,0,5,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,1,0,0,3,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0
102.cpp,1,0,0,1,6,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,3,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0
103.cpp,1,3,0,7,3,6,0,0,0,1,0,4,0,0,0,0,16,0,0,0,0,0,0,21,0,0,1,0,0,3,0,0,0,12,0,1,0,0,0,0,0,0,0,0,0
104.cpp,1,1,0,23,4,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1,0,0,3,0,0,0,20,0,1,0,0,0,0,0,0,0,1,0
105.cpp,1,0,0,3,3,6,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,3,1,0,1,6,0,1,0,0,0,0,0,0,0,0,0
106.cpp,2,2,0,9,6,3,0,0,0,1,0,0,0,0,0,0,8,0,0,1,0,0,0,12,0,0,2,0,0,6,2,0,4,16,0,1,0,0,0,0,0,0,0,0,0
107.cpp,1,0,0,2,3,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,3,1,0,0,9,0,1,0,0,0,0,0,0,0,0,0
