Filename,FunDef,FunApp,letlambda,BinaryOperator,letdata,closure,templateMatch,ClassDef,ForLoop,WhileLoop,DoWhileLoop,IfStmt,SwitchStmt,CaseStmt,DefaultStmt,TernaryOp,ArrayDecl,FieldDecl,EnumConstantDecl,ParamDecl,TypedefDecl,StructDecl,FloatDecl,IntegerDecl,PtrDecl,UnionDecl,ReturnStmt,BreakStmt,ContinueStmt,DeclStmt,UnaryOperator,CharLiteral,StringLiteral,DeclRefExpr,MemberRefExpr,TranslationUnit,Namespace,TemplateTypeParam,TemplateNonTypeParam,TemplateTemplateParam,UnexpoesdDecl,NewOp,DelOp,Static_Cast<>,BoolLiteral,eTime_macos,eTime_windows10,Statements,Branches,Comments,Class Defs,Methods/Class,Avg Stmts/Method,Max Complexity,Max Depth,Avg Depth,Avg Complexity,Functions,Med_win,Ave_win,Std_win,Med_mac,Ave_mac,Std_mac
1.cpp,2,1,0,1,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,2,1,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0.001726866,0.004999638,4,0,38.9,0,0,0,0,0,0,0,0,0.003000021,0.003003879,0.000476544,0.0027951,0.00258863,0.000575706
10.cpp,1,0,0,2,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,3,2,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0.001785994,0.004001141,8,12.5,57.6,0,0,0,2,2,0.62,2,1,0.003026843,0.003122557,0.000567455,0.002970576,0.002777171,0.000702587
100.cpp,2,1,0,11,6,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,10,0,0,1,0,0,6,2,3,0,14,0,1,0,0,0,0,0,0,0,1,1,0.001508951,0.003999949,17,11.8,21.4,0,0,0,3,2,1.12,2,2,0.003001094,0.002927531,0.000296668,0.002942562,0.002828908,0.000717435
101.cpp,1,0,0,0,5,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,1,0,0,3,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0.001662254,0.004000187,8,12.5,14.3,0,0,0,2,2,0.88,2,1,0.003001332,0.003029964,0.000485094,0.002818584,0.00267067,0.000598921
102.cpp,1,0,0,1,6,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,3,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0.00150609,0.004999399,6,16.7,23.1,0,0,0,2,1,0.67,2,1,0.002999425,0.003098889,0.000586584,0.002849817,0.002621007,0.000621488
103.cpp,1,3,0,7,3,6,0,0,0,1,0,4,0,0,0,0,16,0,0,0,0,0,0,21,0,0,1,0,0,3,0,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0.001584053,0.003998518,17,29.4,18.2,0,0,0,6,3,1.47,6,1,0.005998611,0.005108335,0.001762704,0.002731085,0.002639937,0.00046852
104.cpp,1,1,0,23,4,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1,0,0,3,0,0,0,20,0,1,0,0,0,0,0,0,0,1,0,0.001538038,0.004001856,10,20,22.2,0,0,0,8,1,0.7,8,1,0.003000736,0.002929753,0.000331386,0.002792597,0.002665019,0.00048389
105.cpp,1,0,0,3,3,6,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,3,1,0,1,6,0,1,0,0,0,0,0,0,0,0,0,0.001500845,0.003999233,18,27.8,15.6,0,0,0,6,4,1.78,6,1,0.003000617,0.003015009,0.000472541,0.002823591,0.002685285,0.000583351
106.cpp,2,2,0,9,6,3,0,0,0,1,0,0,0,0,0,0,8,0,0,1,0,0,0,12,0,0,2,0,0,6,2,0,4,16,0,1,0,0,0,0,0,0,0,0,0,0.001451015,0.004998922,11,9.1,12.5,0,0,0,2,2,0.73,1.5,2,0.003000498,0.003010837,0.000461526,0.00273633,0.00251143,0.000590471
107.cpp,1,0,0,2,3,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,3,1,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0.001479864,0.006000757,12,16.7,10.5,0,0,0,3,3,1.08,3,1,0.002998829,0.002908707,0.000567169,0.00288105,0.002637887,0.000585218
108.cpp,1,2,0,7,4,7,0,0,2,0,0,3,0,0,0,0,4,0,0,0,0,0,0,3,0,0,1,1,0,4,2,6,0,16,2,1,0,0,0,0,0,0,0,0,2,0.00152874,0.00499773,16,37.5,6.5,0,0,0,7,4,1.81,7,1,0.002999783,0.002941999,0.000560618,0.002918005,0.00268786,0.000619103
109.cpp,1,0,0,33,3,5,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,3,18,17,1,21,0,1,0,0,0,0,0,0,0,0,3,0.001531839,0.006002188,14,28.6,7.7,0,0,0,19,4,1.64,19,1,0.002998829,0.003010663,0.000667635,0.003010392,0.00279386,0.000712303
11.cpp,1,0,0,13,8,3,0,0,1,0,0,0,1,2,1,0,7,0,0,0,0,0,0,13,0,0,1,3,0,4,1,2,1,28,0,1,0,0,0,0,0,0,0,0,0,0.001473188,0.005022526,28,32.1,7.1,0,0,0,4,4,1.75,4,1,0.003500342,0.00361422,0.000739835,0.00286901,0.00262804,0.000632243
110.cpp,1,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0.001516104,0.00600028,6,0,22.2,0,0,0,1,1,0.5,1,1,0.00304544,0.003055128,6.32E-05,0.002775073,0.002818465,0.001039694
111.cpp,1,0,0,5,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,1,0,0,7,0,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0.001590729,0.005002022,12,0,33.3,0,0,0,1,1,0.67,1,1,0.003034711,0.003220157,0.000777158,0.002903104,0.002712512,0.000575494
112.cpp,2,1,0,17,7,7,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,3,16,0,0,1,0,0,7,2,3,0,19,0,1,0,0,0,0,0,0,0,1,1,0.001738071,0.004998922,21,19,17.6,0,0,0,5,3,1.43,3,2,0.003000259,0.002923489,0.000570674,0.002974629,0.002717543,0.000639011
113.cpp,1,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0.001553059,0.004998922,7,0,20,0,0,0,1,1,0.57,1,1,0.003051877,0.003229542,0.000441266,0.002955556,0.002810073,0.000668024
114.cpp,1,0,0,4,2,4,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,1,0,2,1,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0.001519203,0.00399971,9,33.3,5.9,0,0,0,4,4,1.78,4,1,0.00300014,0.002922698,0.000579552,0.002783418,0.002624989,0.000660475
115.cpp,2,1,0,10,6,4,0,0,1,0,0,0,1,7,1,0,0,0,0,0,0,0,2,16,0,0,1,6,0,6,2,3,0,14,0,1,0,0,0,0,0,0,0,1,1,0.001756907,0.003992796,30,53.3,16.7,0,0,0,3,4,2.33,2,2,0.003152966,0.003503008,0.000697242,0.00278306,0.002604413,0.000592694
116.cpp,1,1,0,1,3,6,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,3,1,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0.00167799,0.004998446,20,25,3.1,0,0,0,7,3,1.45,7,1,0.004054189,0.004572619,0.001577171,0.002860904,0.002624822,0.000628787
117.cpp,1,0,0,12,8,4,0,0,2,0,0,1,0,0,0,0,7,0,0,0,0,0,0,27,0,0,1,0,0,8,2,0,0,25,0,1,0,0,0,0,0,0,0,0,0,0.001498938,0.003999949,14,21.4,13,0,0,0,6,4,1.21,6,1,0.003040195,0.003119089,0.000546628,0.002691984,0.00257895,0.000571402
118.cpp,1,0,0,20,8,5,0,0,3,0,0,1,0,0,0,2,12,0,0,0,0,0,0,27,0,0,1,0,0,7,3,0,0,35,0,1,0,0,0,0,0,0,0,0,0,0.001573086,0.005000114,16,37.5,8.3,0,0,0,7,3,1.31,7,1,0.003063798,0.0033996,0.000529274,0.003064513,0.002757287,0.000726649
119.cpp,2,2,0,7,7,4,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,10,0,0,2,0,0,7,2,0,0,20,0,1,0,0,0,0,0,0,0,0,0,0.001886129,0.004016876,16,12.5,16,0,0,0,2,2,0.94,2,2,0.003055573,0.00330058,0.000810717,0.002817512,0.002666163,0.000564018
12.cpp,1,1,0,2,4,3,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,4,0,0,1,0,0,4,1,0,0,7,1,1,0,0,0,0,0,0,0,0,0,0.001626968,0.003999472,10,20,14.3,0,0,0,3,3,0.9,3,1,0.003073573,0.003319773,0.000678406,0.002895474,0.002772927,0.000654096
120.cpp,1,0,0,8,7,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1,0,0,2,1,0,0,13,0,1,0,0,0,0,0,0,0,0,0,0.001597166,0.004000664,15,20,16,0,0,0,6,2,1.2,6,1,0.003004789,0.003227819,0.000937229,0.002847075,0.002706504,0.000576978
121.cpp,1,0,0,11,3,1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,19,0,0,1,0,0,3,0,0,0,15,0,1,0,0,0,0,0,0,0,0,0,0.001652002,0.005019665,9,0,9.1,0,0,0,1,1,0.56,1,1,0.003054142,0.003123002,0.000730827,0.002885461,0.002664709,0.000558408
