Filename,eTime_0,eTime_1,eTime_2,eTime_3,eTime_4,eTime_5,eTime_6,eTime_7,eTime_8,eTime_9,Med,Ave,Std
1.cpp,0.001595974,0.001784086,0.002104759,0.00249505,0.002728224,0.002861977,0.002941132,0.003253937,0.003040314,0.003080845,0.0027951,0.00258863,0.000575706
10.cpp,0.001485825,0.001749039,0.002395153,0.002717972,0.002876997,0.003064156,0.003376007,0.00321269,0.00332284,0.003571033,0.002970576,0.002777171,0.000702587
100.cpp,0.001699209,0.001708031,0.002437115,0.002554178,0.002852917,0.003509998,0.003032207,0.00338316,0.003547192,0.003565073,0.002942562,0.002828908,0.000717435
101.cpp,0.001638174,0.001862764,0.002135754,0.002763987,0.002681732,0.002873182,0.003333092,0.002988815,0.003069878,0.003359318,0.002818584,0.00267067,0.000598921
102.cpp,0.001609802,0.001679182,0.002141237,0.002482176,0.002676964,0.003116131,0.003040075,0.003298998,0.003142834,0.003022671,0.002849817,0.002621007,0.000621488
103.cpp,0.001985073,0.001856089,0.002211094,0.002650261,0.002635956,0.002811909,0.003072023,0.003098011,0.003077745,0.003001213,0.002731085,0.002639937,0.00046852
104.cpp,0.002229929,0.00173378,0.002247095,0.002507925,0.002701044,0.002903938,0.00288415,0.003059864,0.003058195,0.00332427,0.002792597,0.002665019,0.00048389
105.cpp,0.001662016,0.001935959,0.002283812,0.002489805,0.002707243,0.002939939,0.003051043,0.003330231,0.00306201,0.003390789,0.002823591,0.002685285,0.000583351
106.cpp,0.001407862,0.001690865,0.002087831,0.002503872,0.00261879,0.002854347,0.003033161,0.00285387,0.003090858,0.002972841,0.00273633,0.00251143,0.000590471
107.cpp,0.001559973,0.001739979,0.002193928,0.002866983,0.002895117,0.002839088,0.003077269,0.003011703,0.003059864,0.003134966,0.00288105,0.002637887,0.000585218
108.cpp,0.00166297,0.00180912,0.00220871,0.00250411,0.002793074,0.003042936,0.003475904,0.003075123,0.003258705,0.003047943,0.002918005,0.00268786,0.000619103
109.cpp,0.001650095,0.001776695,0.002275944,0.002449751,0.002943993,0.003391027,0.003076792,0.003348112,0.003647089,0.003379107,0.003010392,0.00279386,0.000712303
11.cpp,0.001575947,0.001727819,0.002128839,0.002476692,0.002805948,0.003139973,0.002979994,0.002932072,0.003489017,0.003024101,0.00286901,0.00262804,0.000632243
